OpnameDatum;StandNormaal;StandDal;TerugleveringNormaal;TerugleveringDal
2022-12-31;6083;5662;0;0
2022-12-30;6077;5659;0;0
2022-12-29;6072;5657;0;0
2022-12-28;6067;5655;0;0
2022-12-27;6062;5652;0;0
2022-12-26;6062;5643;0;0
2022-12-25;6062;5632;0;0
2022-12-24;6062;5622;0;0
2022-12-23;6055;5619;0;0
2022-12-22;6051;5617;0;0
2022-12-21;6046;5614;0;0
2022-12-20;6040;5612;0;0
2022-12-19;6036;5609;0;0
2022-12-18;6036;5601;0;0
2022-12-17;6036;5592;0;0
2022-12-16;6030;5590;0;0
2022-12-15;6025;5587;0;0
2022-12-14;6019;5585;0;0
2022-12-13;6015;5583;0;0
2022-12-12;6011;5580;0;0
2022-12-11;6011;5571;0;0
2022-12-10;6011;5562;0;0
2022-12-09;6007;5559;0;0
2022-12-08;6002;5557;0;0
2022-12-07;5998;5554;0;0
2022-12-06;5994;5552;0;0
2022-12-05;5989;5550;0;0
2022-12-04;5989;5541;0;0
2022-12-03;5989;5532;0;0
2022-12-02;5984;5530;0;0
2022-12-01;5979;5527;0;0
2022-11-30;5972;5525;0;0
2022-11-29;5968;5522;0;0
2022-11-28;5964;5519;0;0
2022-11-27;5964;5511;0;0
2022-11-26;5964;5502;0;0
2022-11-25;5960;5500;0;0
2022-11-24;5955;5497;0;0
2022-11-23;5950;5494;0;0
2022-11-22;5943;5492;0;0
2022-11-21;5936;5491;0;0
2022-11-20;5936;5483;0;0
2022-11-19;5936;5476;0;0
2022-11-18;5931;5475;0;0
2022-11-17;5926;5473;0;0
2022-11-16;5921;5471;0;0
2022-11-15;5916;5469;0;0
2022-11-14;5911;5467;0;0
2022-11-13;5911;5460;0;0
2022-11-12;5911;5454;0;0
2022-11-11;5907;5452;0;0
2022-11-10;5903;5450;0;0
2022-11-09;5898;5449;0;0
2022-11-08;5891;5446;0;0
2022-11-07;5887;5443;0;0
2022-11-06;5887;5437;0;0
2022-11-05;5887;5431;0;0
2022-11-04;5883;5430;0;0
2022-11-03;5878;5427;0;0
2022-11-02;5874;5425;0;0
2022-11-01;5869;5422;0;0
2022-10-31;5865;5420;0;0
2022-10-30;5865;5412;0;0
2022-10-29;5865;5405;0;0
2022-10-28;5859;5403;0;0
2022-10-27;5855;5402;0;0
2022-10-26;5850;5399;0;0
2022-10-25;5847;5397;0;0
2022-10-24;5843;5394;0;0
2022-10-23;5843;5387;0;0
2022-10-22;5843;5380;0;0
2022-10-21;5839;5378;0;0
2022-10-20;5834;5375;0;0
2022-10-19;5830;5373;0;0
2022-10-18;5825;5371;0;0
2022-10-17;5821;5368;0;0
2022-10-16;5821;5361;0;0
2022-10-15;5821;5355;0;0
2022-10-14;5817;5353;0;0
2022-10-13;5813;5351;0;0
2022-10-12;5807;5349;0;0
2022-10-11;5804;5347;0;0
2022-10-10;5799;5345;0;0
2022-10-09;5799;5338;0;0
2022-10-08;5799;5332;0;0
2022-10-07;5795;5330;0;0
2022-10-06;5790;5327;0;0
2022-10-05;5786;5325;0;0
2022-10-04;5782;5323;0;0
2022-10-03;5778;5320;0;0
2022-10-02;5778;5314;0;0
2022-10-01;5778;5306;0;0
2022-09-30;5773;5304;0;0
2022-09-29;5769;5302;0;0
2022-09-28;5765;5300;0;0
2022-09-27;5761;5297;0;0
2022-09-26;5757;5295;0;0
2022-09-25;5757;5287;0;0
2022-09-24;5757;5279;0;0
2022-09-23;5753;5277;0;0
2022-09-22;5749;5274;0;0
2022-09-21;5745;5272;0;0
2022-09-20;5741;5270;0;0
2022-09-19;5737;5268;0;0
2022-09-18;5737;5260;0;0
2022-09-17;5737;5252;0;0
2022-09-16;5734;5250;0;0
2022-09-15;5729;5247;0;0
2022-09-14;5724;5244;0;0
2022-09-13;5720;5242;0;0
2022-09-12;5714;5240;0;0
2022-09-11;5714;5234;0;0
2022-09-10;5714;5228;0;0
2022-09-09;5711;5226;0;0
2022-09-08;5707;5223;0;0
2022-09-07;5702;5221;0;0
2022-09-06;5698;5219;0;0
2022-09-05;5692;5216;0;0
2022-09-04;5692;5211;0;0
2022-09-03;5692;5203;0;0
2022-09-02;5689;5201;0;0
2022-09-01;5685;5198;0;0
2022-08-31;5680;5195;0;0
2022-08-30;5674;5193;0;0
2022-08-29;5669;5191;0;0
2022-08-28;5669;5184;0;0
2022-08-27;5669;5179;0;0
2022-08-26;5665;5176;0;0
2022-08-25;5660;5175;0;0
2022-08-24;5655;5172;0;0
2022-08-23;5650;5170;0;0
2022-08-22;5645;5167;0;0
2022-08-21;5645;5160;0;0
2022-08-20;5645;5152;0;0
2022-08-19;5642;5150;0;0
2022-08-18;5638;5148;0;0
2022-08-17;5634;5145;0;0
2022-08-16;5629;5143;0;0
2022-08-15;5625;5141;0;0
2022-08-14;5625;5134;0;0
2022-08-13;5625;5127;0;0
2022-08-12;5620;5125;0;0
2022-08-11;5615;5123;0;0
2022-08-10;5611;5122;0;0
2022-08-09;5608;5121;0;0
2022-08-08;5605;5119;0;0
2022-08-07;5605;5113;0;0
2022-08-06;5605;5109;0;0
2022-08-05;5602;5107;0;0
2022-08-04;5599;5106;0;0
2022-08-03;5595;5103;0;0
2022-08-02;5585;5096;0;0
2022-08-01;5585;5096;0;0
